College_Name,State,Fees,Rating
A. C. Patil College of Engineering - [ACPCE],Unknown,Unknown,8.7
A. D. Patel Institute of Technology - [ADIT],Unknown,Unknown,7.3
A. P. Shah Institute of Technology - [APSIT],Unknown,Unknown,8.5
AAA College of Engineering & Technology,Unknown,Unknown,9.6
ABES Engineering College,Unknown,Unknown,8.8
ABES Institute of Technology - [ABESIT],Unknown,Unknown,6.6
ACE Engineering College - [ACEEC],Unknown,Unknown,8.8
AISSMS College of Engineering - [AISSMSCOE],Unknown,Unknown,7.7
AISSMS Institute of Information Technology,Unknown,Unknown,8.1
AKS University - [AKSU],Unknown,Unknown,7.0
AP Goyal Shimla University,Unknown,Unknown,8.7
Academy for Technical and Management Excellence - [ATME],Unknown,Unknown,4.2
Academy of Maritime Education and Training University - [AMET],Unknown,Unknown,8.8
Academy of Technology -  [AOT],Unknown,Unknown,9.0
Acharya Institute of Technology - [AIT],Unknown,Unknown,6.5
Acropolis Institute of Technology & Research - [AITR],Unknown,Unknown,8.8
Adani Institute of Infrastructure Engineering - [AIIE],Unknown,Unknown,7.6
Adhiyamaan College of Engineering,Unknown,Unknown,7.9
Adichunchanagiri Institute of Technology- [AIT],Unknown,Unknown,10.0
Adichunchanagiri University - [ACU],Unknown,Unknown,7.7
Adithya Institute of Technology - [AIT],Unknown,Unknown,6.3
Aditya College Of Engineering and Technology - [ACET],Unknown,Unknown,8.0
Aditya College of Agricultural Engineering and Technology,Unknown,Unknown,7.7
Aditya Engineering College - [AEC],Unknown,Unknown,9.0
Aditya Institute of Technology and Management -[AITAM],Unknown,Unknown,7.1
Aditya Silver Oak Institute of Technology - [ASOIT],Unknown,Unknown,8.3
Agra College,Unknown,Unknown,6.3
Ahmedabad University,Unknown,Unknown,9.5
Ajay Kumar Garg Engineering College - [AKGEC],Unknown,Unknown,8.2
Ajeenkya DY  Patil University - [ADYPU],Unknown,Unknown,7.8
Akshaya College of Engineering and Technology-[ACET],Unknown,Unknown,7.2
"Alagappa College of Technology, Anna University - [ACT]",Unknown,Unknown,7.7
Aliah University,Unknown,Unknown,8.1
Aligarh College of Engineering and Technology - [ACET],Unknown,Unknown,6.7
Aligarh Muslim University - [AMU],Unknown,Unknown,8.8
Allenhouse Institute of Technology,Unknown,Unknown,7.2
Alliance School of Law,Unknown,Unknown,9.0
Alliance University,Unknown,Unknown,7.7
Alva's Institute of Engineering and Technology,Unknown,Unknown,8.6
Amal Jyothi College of Engineering  - [AJCE],Unknown,Unknown,8.4
Amity Institute of Biotechnology - [AIB],Unknown,Unknown,7.8
Amity School of Engineering & Technology - [ASET],Unknown,Unknown,6.2
Amity University,Unknown,Unknown,8.4
Amrita School of Engineering - [ASE],Unknown,Unknown,9.2
Amrita Vishwa Vidyapeetham,Unknown,Unknown,8.0
Amrita Vishwa Vidyapeetham Bengaluru Campus,Unknown,Unknown,8.7
Amrutvahini College of Engineering - [AVCOE],Unknown,Unknown,9.5
Anand College of Engineering and Management - [ACEM],Unknown,Unknown,7.8
Anand Engineering College - [AEC],Unknown,Unknown,9.7
Anand International College of Engineering,Unknown,Unknown,9.7
Anantha Lakshmi Institute of Technology and Sciences - [ALITS],Unknown,Unknown,9.0
Andhra University - [AU],Unknown,Unknown,6.3
"Andhra University, College of Engineering - [AUCE]",Unknown,Unknown,7.7
Anil Neerukonda Institute of Technology & Sciences - [ANITS],Unknown,Unknown,8.1
